2026-02-23 - Count: 4, Mean: 71.25, Std: 27.31, Variance: 745.69
2026-02-23 - Count: 4, Mean: 71.25, Std: 27.31, Variance: 745.69
2026-02-23 - Count: 4, Mean: 71.25, Std: 27.31, Variance: 745.69
2026-02-23 - Count: 4, Mean: 71.25, Std: 27.31, Variance: 745.69
2026-02-23 - Count: 4, Mean: 71.25, Std: 27.31, Variance: 745.69
2026-02-23 - Count: 4, Mean: 71.25, Std: 27.31, Variance: 745.69
2026-02-23 - Count: 4, Mean: 71.25, Std: 27.31, Variance: 745.69
2026-02-23 - Count: 4, Mean: 71.25, Std: 27.31, Variance: 745.69
2026-02-23 - Count: 4, Mean: 71.25, Std: 27.31, Variance: 745.69
2026-02-23 - Count: 4, Mean: 71.25, Std: 27.31, Variance: 745.69
2026-02-23 - Count: 4, Mean: 71.25, Std: 27.31, Variance: 745.69
2026-02-23 - Count: 4, Mean: 71.25, Std: 27.31, Variance: 745.69
2026-02-23 - Count: 4, Mean: 71.25, Std: 27.31, Variance: 745.69
2026-02-23 - Count: 4, Mean: 71.25, Std: 27.31, Variance: 745.69
2026-02-23 - Count: 4, Mean: 71.25, Std: 27.31, Variance: 745.69
2026-02-23 - Count: 4, Mean: 71.25, Std: 27.31, Variance: 745.69
2026-02-23 - Count: 4, Mean: 54.25, Std: 10.50, Variance: 110.19
2026-02-23 - Count: 4, Mean: 62.50, Std: 22.91, Variance: 524.75
2026-02-23 - Count: 4, Mean: 54.25, Std: 10.50, Variance: 110.19
2026-02-23 - Count: 4, Mean: 54.25, Std: 10.50, Variance: 110.19
2026-02-23 - Count: 4, Mean: 54.25, Std: 10.50, Variance: 110.19
2026-02-23 - Count: 1, Mean: 42.00, Std: 0.00, Variance: 0.00
2026-02-23 - Count: 1, Mean: 42.00, Std: 0.00, Variance: 0.00
2026-02-23 - Count: 1, Mean: 42.00, Std: 0.00, Variance: 0.00
2026-02-23 - Count: 1, Mean: 42.00, Std: 0.00, Variance: 0.00
2026-02-23 - Count: 1, Mean: 42.00, Std: 0.00, Variance: 0.00
2026-02-23 - Count: 1, Mean: 42.00, Std: 0.00, Variance: 0.00
2026-02-23 - Count: 1, Mean: 42.00, Std: 0.00, Variance: 0.00
2026-02-23 - Count: 1, Mean: 42.00, Std: 0.00, Variance: 0.00
2026-02-23 - Count: 4, Mean: 54.25, Std: 10.50, Variance: 110.19
2026-02-23 - Count: 4, Mean: 54.25, Std: 10.50, Variance: 110.19
2026-02-23 - Count: 4, Mean: 54.25, Std: 10.50, Variance: 110.19
2026-02-23 - Count: 4, Mean: 54.25, Std: 10.50, Variance: 110.19
2026-02-24 - Count: 4, Mean: 54.25, Std: 10.50, Variance: 110.19
2026-02-24 - Count: 4, Mean: 54.25, Std: 10.50, Variance: 110.19
